Global cluster,OCHA_Code,Sub-domain,Indicator,Indicator_Local,Unit of Measurement,Denominator,Disaggregation,Indicator used for response monitoring?,Key indicator,Numerator,Sectoral objective,Standards,Strategic objective,Standards,Indicator_Types,Unit_Description,
Protection,P1-PC3-1,PC3 Sexual violence,Percentage of surveyed communities that indicate a change in the incidence of sexual violence against children since [DATE-EMERGENCY-ETC],,Community,# of surveyed communities,"Geography and where appropriate, other distinguishing characteristics of the communities",Yes,Yes,# of surveyed communities that indicate a change in the incidence of sexual violence against children,,,,,"Baseline, Outcome",Percentage,
Protection,P1-PC3-2,PC3 Sexual violence,Child Protection actors have done an analysis of how sexual violence towards boys and girls is viewed and responded to,,Community,# of child protection actors,Geography,Yes,No,# of child protection actors who have an understanding of how sexual violence (towards boys and girls) is viewed by families and communities before programming (Y/N),,,,Yes,Output,n/a,
Protection,P1-PC4-1,PC4 Psychosocial distress and mental disorders,Percentage of communities [or camps] that have functioning safe spaces for children [and/or youth],,Community,# of communities or camps that were identified as in need of safe spaces for children and/or youth,Geography,Yes,No,# of communities or camps that have safe spaces for children and/or youth,,,,1,Output,,
Protection,P1-PC4-2,PC4 Psychosocial distress and mental disorders,Percentage of surveyed communities who indicate children exhibit behavioural changes that relate to symptoms of distress since [DATE-EMERGENCY-ETC],,Community,# of surveyed communities,"Geography and, where appropriate, other distinguishing characteristics of communities",No,Yes,# of surveyed communities who indicate that children exhibit behavioural changes that relate to signs and symptoms of distress,,,,,"Baseline, Outcome",Percentage,
Protection,P1-PC4-3,PC4 Psychosocial distress and mental disorders,Percentage of community members surveyed who know how to support children with psychosocial distress,,Community,# of surveyed communities,geography,Yes,No,# of community members surveyed who can demonstrate knowledge of how to support children with psychosocial distress,,,,0.8,Output,Percentage,
Protection,P1-PC4-4,PC4 Psychosocial distress and mental disorders,"Percentage of Child Friendly Spaces where structured age appropriate  CFS activities are implemented based on needs identified by girls, boys and families",,Facility,Estimated # of affected children,Geography; sex,Yes,No,"Estimated # of children with safe access to child friendly spaces for socialising, play, learning , etc",,,,,"Outcome, Output",Percentage,
Protection,P1-PC4-5,PC4 Psychosocial distress and mental disorders,Percentage of cases identified in need of psychosocial/mental health services who are referred to specialist services,,Individual,# of children identified as in need of specific psychosocial and mental health services,"age, sex, geography",,Yes,# of children identified as in need of specific psychosocial and mental health services who are referred to focsed specialised services,,,,,Output,Percentage,
Protection,P1-PC5-1,PC5 Children associated with armed forces and armed groups,Percentage of surveyed communities who note the recruitment of children into armed forces and/or groups,,Community,# of surveyed sites indicating the recruitment of children,% of reporting surveyed sites indicating recruitment of children,Yes,Yes,# of surveyed communities who reported recruitment of children in their community,,,,,"Baseline, Outcome",Percentage,
Protection,P1-PC5-2,PC5 Children associated with armed forces and armed groups,"Percentage of registered children separated from armed forces or groups, who are effectively reintegrated in their families or alternatively integrated",,Individual,# of registered girls and boys separated from armed forces or groups,"Geography, sex, age",Yes,Yes,# of registered   girls and boys separated from armed forces or groups who are effectively reintegrated in their families and the community or alternatively integrated,,,,1,Outcome,Percentage,
Protection,P1-PC5-3,PC5 Children associated with armed forces and armed groups,Percentage of community members surveyed  who can describe at least one action to prevent child recruitment and one action to report on child recruitment,,Individual,# of community members surveyed,Geography,Yes,No,# of communities members surveyed who can describe commonly agreed strategies to prevent and report child recruitment,,,,To be determined in country and context,Output,Percentage,
Protection,P1-PC6-1,PC6 Child Labour,Percentage of surveyed communities who indictate the involvement of children in worst forms of child labour,,Community,# of surveyed communities,Age / Sex; In phase 4 disaggregate by type of labour,No,Yes,# of surveyed communities who have reported involvement of children in worst forms of child labour,,,,,"Baseline, Outcome",Percentage,
Protection,P1-PC6-2,PC6 Child Labour,Percentage of surveyed community members are aware of the danger and consequences of the Worst Forms of Child Labour,,Community,#  of surveyed communities,"Geography, role of community member interviewed",Yes,No,#  of communities that are aware of the danger and consequences of the Worst Forms of Child Labour,,,,0.8,Output,Percentage,
Protection,P1-PC7-1,PC7 Unaccompanied and separated children,Percentage of children separated from their caregivers,,Individual,# of surveyed communities,"Disaggregate SC, UAC, and orphans by sex in Phase 4",Yes,Yes,# of surveyed communities that indicate incidence of children separated from their caregivers,,CPRA (Question 1),,,"Baseline, Outcome",n/a,
Protection,P1-PC7-2,PC7 Unaccompanied and separated children,Percentage of registered unaccompanied and/or separated children who are reunited with their caregivers OR in appropriate long term alternative care,,Individual,# of registered UASC,"Geography, sex, age",Yes,Yes,# of registered Unaccompanied and Separated Children (UASC) who are reunited with their caregivers OR in appropriate long term alternative,,,,0.9,Output,Percentage,
Protection,P1-PC7-3,PC7 Unaccompanied and separated children,Percentage of children registered for tracing that have been reunified and stayed with their family for more than six months,,Individual,# of children registered for family tracing,"Geography, sex, age",Yes,Yes,# of children registered for tracing that has been reunified and stayed with their family for more than six months,,,,0.9,Outcome,Percentage,
Protection,P1-PC7-4,PC7 Unaccompanied and separated children,Percentage of registered unaccompanied/separated children in appropriate interim care,,Individual,# of registered unaccompanied and separated children,"Geography, age, sex",,Yes,# of registered unaccompanied and separated children in appropriate interim care,,,,0.9,Output,Percentage,
Protection,P1-PC7-5,PC7 Unaccompanied and separated children,SoPs for family reunification established or reflected in generic SoPs,,Facility,# of child protection actors,,Yes,No,# of child protection actors who have an understanding of SoPs for family reunification (Y/N),,,,,Output,n/a,
Protection,P1-PC8-1,PC8 Justice for Children,Percentage of facilities surveyed who indicate increased numbers of children detained since  [DATE-EMERGENCY-ETC],,Facility,# of surveyed communities,"Geography, sex, age",Yes,Yes,# of surveyed communities who indicate increased numbers of children detained,,,,To be determined in the country,"Baseline, Outcome",Percentage,
Protection,P1-PC9-1,PC9 Community-based child protection mechanisms (CBCPM),Percentage of communities surveyed who confirm that Community based Child Protection Mechanisms (CBCPMs) exist in their community,,Community,# of community members surveyed,Geography,Yes,Yes,# of communities members surveyed who confirm that CBCPMs exist in their community,,,,0.8,"Baseline, Outcome",Percentage,
Protection,P2-PG1-1,PG1 Developing Referral Pathway for Survivors,"Functional referral system in place that includes multi-sectoral services (health, psychosocial, legal and security) for GBV survivors",,Community,N/A,"Geography, Types of services",Yes,Yes,N/A,,,,,"Baseline, Outcome",Yes/No indicator,
Protection,P2-PG2-1,PG2 Develop/apply SOPs context specific,Written Standard Operating Procedures (SOPs) for GBV prevention and response developed and agreed upon by all relevant humanitarian actors,,Community,N/A,Geography,Yes,Yes,N/A,,,,,"Baseline, Outcome",Yes/No indicator,
Protection,P2-PG3-1,"PG3 Multi sectoral engagement (health, legal/justice, security, psychosocial)",Proportion of community-based workers trained in psychosocial support for GBV survivors,,Community,total # community workers,Geography; Sex,Yes,Yes,# community- based workers trained in GBV psychosocial support,,SPHERE,,"Survivors of sexual violence should be supported to seek and be referred for clinical care and have access to mental health and psychosocial support"" (Guidance Note 3: sexual violence)",Output,Percentage,
Protection,P2-PG3-10,PG6 Prevention Programming,% of health workers trained on Clinical Management of Rape,,Community,"total # of health workers (in the categories selected at the national level, e.g. medical officers, nurses, etc.)","Health Administrative Area; Sex: Level of health workers (medical doctor, nurse, midwife)",Yes,Yes,# health staff trained on Clinical Management of Rape,,SPHERE,,"Measures for assisting survivors must be in place for all primary-level health facilities and include skilled staff to provide clinical management that encompasses emergency contraception, post-exposure prophylaxis to prevent HIV, presumptive treatment of sexually transmitted infections (STIs), wound care, tetanus prevention and hepatitis B prevention..."" (Guidance Note 3: sexual violence)",Output,Percentage,
Protection,P2-PG3-2,"PG3 Multi sectoral engagement (health, legal/justice, security, psychosocial)",Percentage of reported rape cases where survivor receives post-exposure prophylaxsis for HIV (PEP) within 72 hours of incident,,Community,Total # of reported incidents of rape,Geography; SADD; Disability,Yes,No,# survivors of rape who receive PEP within 72 hours of incident,,,,,"Baseline, Outcome",Percentage,
